"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","03-Jan-2022","       3738.35","       3750.00","       3830.00","       3745.00","       3815.00","       3817.75","       3807.43","    2346158","          8932827981.15","     143798","    1433211","         61.09"
"TCS","EQ","04-Jan-2022","       3817.75","       3831.10","       3889.15","       3811.70","       3878.70","       3884.75","       3859.30","    2488606","          9604274014.30","     141253","    1539134","         61.85"
"TCS","EQ","05-Jan-2022","       3884.75","       3865.00","       3870.00","       3812.40","       3856.00","       3860.95","       3847.67","    1733031","          6668131688.00","     136018","     988277","         57.03"
"TCS","EQ","06-Jan-2022","       3860.95","       3812.00","       3835.00","       3772.00","       3809.95","       3807.45","       3802.98","    1810293","          6884500149.55","     135529","     995325","         54.98"
"TCS","EQ","07-Jan-2022","       3807.45","       3820.00","       3864.90","       3796.40","       3858.90","       3853.50","       3839.03","    2460591","          9446283701.75","     157006","    1501620","         61.03"
"TCS","EQ","10-Jan-2022","       3853.50","       3978.00","       3978.00","       3861.00","       3884.00","       3879.85","       3897.84","    3937092","         15346166149.80","     247085","    1687823","         42.87"
"TCS","EQ","11-Jan-2022","       3879.85","       3856.00","       3925.00","       3856.00","       3917.00","       3915.90","       3896.96","    1906106","          7428014700.35","     160870","    1054450","         55.32"
"TCS","EQ","12-Jan-2022","       3915.90","       3925.00","       3929.00","       3836.55","       3857.00","       3859.90","       3874.16","    3203744","         12411815990.80","     241232","    1866561","         58.26"
"TCS","EQ","13-Jan-2022","       3859.90","       3918.00","       3923.00","       3857.00","       3898.00","       3897.90","       3891.72","    6684507","         26014258279.50","     401435","    3737081","         55.91"
"TCS","EQ","14-Jan-2022","       3897.90","       3877.85","       3977.00","       3860.05","       3965.35","       3968.15","       3924.25","    3348123","         13138881273.10","     213960","    1768475","         52.82"
"TCS","EQ","17-Jan-2022","       3968.15","       3992.70","       4043.00","       3962.30","       4025.00","       4019.15","       4010.33","    3442604","         13805980840.45","     230947","    1699919","         49.38"
"TCS","EQ","18-Jan-2022","       4019.15","       4033.95","       4041.70","       3980.00","       3993.95","       3990.60","       4009.82","    2389041","          9579619424.10","     185771","    1635845","         68.47"
"TCS","EQ","19-Jan-2022","       3990.60","       4012.00","       4012.00","       3910.50","       3914.70","       3914.65","       3937.16","    3102539","         12215195983.15","     260043","    2121306","         68.37"
"TCS","EQ","20-Jan-2022","       3914.65","       3910.00","       3920.00","       3811.00","       3833.15","       3826.55","       3843.03","    6176776","         23737557017.75","     349194","    4962139","         80.34"
"TCS","EQ","21-Jan-2022","       3826.55","       3807.00","       3851.55","       3771.10","       3840.00","       3833.50","       3820.58","    3112358","         11891026050.45","     240408","    1795708","         57.70"
"TCS","EQ","24-Jan-2022","       3833.50","       3840.00","       3849.65","       3740.10","       3769.95","       3771.35","       3783.08","    3258414","         12326830753.15","     288359","    1827786","         63.06"
"TCS","EQ","25-Jan-2022","       3771.35","       3769.50","       3809.40","       3722.20","       3765.00","       3769.90","       3763.15","    3330501","         12533182476.50","     298567","    2094835","         62.90"
"TCS","EQ","27-Jan-2022","       3769.90","       3731.00","       3733.40","       3625.10","       3652.00","       3649.25","       3669.10","    5718297","         20981028870.55","     473910","    3887598","         67.99"
"TCS","EQ","28-Jan-2022","       3649.25","       3646.00","       3729.80","       3646.00","       3697.85","       3690.05","       3702.94","    3143862","         11641524811.25","     226989","    1863034","         59.26"
"TCS","EQ","31-Jan-2022","       3690.05","       3749.00","       3758.00","       3721.40","       3744.95","       3736.25","       3741.03","    2739393","         10248148872.10","     193114","    1708467","         62.37"
"TCS","EQ","01-Feb-2022","       3736.25","       3770.00","       3808.00","       3736.40","       3805.00","       3800.65","       3781.44","    2105169","          7960578363.50","     149564","    1067316","         50.70"
"TCS","EQ","02-Feb-2022","       3800.65","       3827.90","       3864.00","       3800.65","       3863.00","       3856.20","       3841.31","    1984212","          7621963889.90","     139468","    1158079","         58.36"
"TCS","EQ","03-Feb-2022","       3856.20","       3851.00","       3882.50","       3816.05","       3819.00","       3824.60","       3850.57","    1960538","          7549182942.05","     137513","    1242614","         63.38"
"TCS","EQ","04-Feb-2022","       3824.60","       3815.30","       3824.70","       3769.00","       3818.00","       3814.90","       3804.03","    2307366","          8777283685.05","     160651","    1415833","         61.36"
"TCS","EQ","07-Feb-2022","       3814.90","       3791.00","       3831.80","       3756.15","       3781.80","       3779.00","       3791.19","    1919149","          7275863610.70","     159690","    1160277","         60.46"
"TCS","EQ","08-Feb-2022","       3779.00","       3791.55","       3799.70","       3721.00","       3738.00","       3743.45","       3741.49","    2946443","         11024097961.50","     209984","    2092329","         71.01"
"TCS","EQ","09-Feb-2022","       3743.45","       3750.00","       3777.95","       3746.10","       3761.65","       3760.55","       3761.99","    1638721","          6164860124.35","     124222","    1190875","         72.67"
